Age,CS 90th Percentile,CS 75th Percentile,CS Median,CS 25th Percentile,Econ 90th Percentile,Econ 75th Percentile,Econ Median,Econ 25th Percentile
23,176659,137090,106548,79617,117187,90009,69737,52210
24,222420,157764,118886,92054,127454,100859,81425,62719
25,232527,165109,128178,103616,151641,114465,90069,69207
26,261114,175940,132967,105601,166973,125092,97294,74010
27,261653,172378,132357,104193,176418,131773,102361,75553
28,252461,175559,135852,107205,192756,140982,107022,76929
29,259180,180283,141214,111220,207451,153648,115540,82523
30,276090,193007,148817,118115,235170,168052,123457,87689
31,299140,203522,154232,121146,254526,177747,129407,90303
32,314279,212274,160000,126626,279246,187899,135302,93089
33,331690,223573,167183,130347,302303,200477,139691,94788
34,347666,233415,172699,134082,312252,210066,146870,97990
35,364438,241603,177035,135902,330175,225450,153030,102627
36,387926,252440,184017,141007,359992,237408,154909,104593
37,411370,264475,186359,145071,382186,244895,158063,104356
38,409620,263679,190919,145809,395223,251278,160128,107855
39,412694,268367,193413,147158,416801,252917,162671,110147
40,422056,271770,196659,149203,433616,257008,162971,107498
41,456225,279572,199564,149090,457240,263400,166095,106613
42,456873,282851,201634,150111,481941,268044,167258,108212
43,464444,284379,202391,150486,470175,275236,171062,109099
44,475622,286678,197518,147929,498070,275556,172513,109140
45,452070,280515,198957,147753,517361,283673,173601,111231
46,434048,281780,197091,147459,518334,286720,172591,107560
47,433532,273611,194127,144548,557571,298048,175455,107704
48,429487,267906,192594,146112,581707,300922,172459,108485
49,409445,270529,190337,143061,605329,305243,172563,108716
50,386738,260798,186733,140129,587388,298714,170475,106417
51,396024,262277,184300,137696,535591,296519,170879,104979
52,407571,262146,184606,138520,552797,291336,168930,102418
53,396478,259142,185735,134359,610330,298544,167364,103027
54,384743,253172,181402,130539,614523,300038,168932,106514
55,397113,250078,181356,133247,607453,307702,165982,103246
56,384844,248267,177903,129241,614037,288066,163781,97079
57,364828,243278,176709,124540,567633,289714,159607,94614
58,351563,243461,174839,122692,555437,275197,155396,96773
59,394774,239116,173482,121446,487313,263421,149494,92950
60,382778,232802,169316,114811,457496,245395,150382,90877
61,344113,233754,166239,111863,397550,232120,137982,82317
62,323401,210138,160874,109751,390012,233244,123319,71862
