year,month,price
2003.0,1.0,100.52
2003.0,2.0,100.71
2003.0,3.0,100.95
2003.0,4.0,101.29
2003.0,5.0,101.38
2003.0,6.0,101.57
2003.0,7.0,101.91
2003.0,8.0,102.18
2003.0,9.0,102.25
2003.0,10.0,102.49
2003.0,11.0,102.61
2003.0,12.0,102.96
2004.0,1.0,103.13
2004.0,2.0,103.55
2004.0,3.0,103.69
2004.0,4.0,103.98
2004.0,5.0,104.12
2004.0,6.0,104.57
2004.0,7.0,104.75
2004.0,8.0,105.04
2004.0,9.0,105.2
2004.0,10.0,105.63
2004.0,11.0,105.81
2004.0,12.0,105.93
2005.0,1.0,106.08
2005.0,2.0,106.43
2005.0,3.0,106.57
2005.0,4.0,106.72
2005.0,5.0,107.13
2005.0,6.0,107.25
2005.0,7.0,107.53
2005.0,8.0,107.72
2005.0,9.0,107.82
2005.0,10.0,107.87
2005.0,11.0,108.15
2005.0,12.0,108.27
2006.0,1.0,108.49
2006.0,2.0,108.76
2006.0,3.0,109.02
2006.0,4.0,109.28
2006.0,5.0,109.43
2006.0,6.0,109.69
2006.0,7.0,109.82
2006.0,8.0,110.18
2006.0,9.0,110.27
2006.0,10.0,110.64
2006.0,11.0,110.92
2006.0,12.0,111.06
2007.0,1.0,111.21
2007.0,2.0,111.66
2007.0,3.0,111.8
2007.0,4.0,112.12
2007.0,5.0,112.28
2007.0,6.0,112.67
2007.0,7.0,112.81
2007.0,8.0,113.1
2007.0,9.0,113.22
2007.0,10.0,113.35
2007.0,11.0,113.83
2007.0,12.0,114.02
2008.0,1.0,114.59
2008.0,2.0,114.74
2008.0,3.0,115.29
2008.0,4.0,115.66
2008.0,5.0,115.83
2008.0,6.0,116.19
2008.0,7.0,116.49
2008.0,8.0,116.99
2008.0,9.0,117.14
2008.0,10.0,117.35
2008.0,11.0,117.43
2008.0,12.0,117.53
2009.0,1.0,117.75
2009.0,2.0,117.84
2009.0,3.0,118.01
2009.0,4.0,118.1
2009.0,5.0,118.2
2009.0,6.0,118.26
2009.0,7.0,116.64
2009.0,8.0,116.5
2009.0,9.0,116.52
2009.0,10.0,116.57
2009.0,11.0,116.64
2009.0,12.0,116.64
2010.0,1.0,116.65
2010.0,2.0,116.75
2010.0,3.0,116.95
2010.0,4.0,117.0
2010.0,5.0,117.2
2010.0,6.0,117.3
2010.0,7.0,117.48
2010.0,8.0,117.58
2010.0,9.0,117.75
2010.0,10.0,117.98
2010.0,11.0,118.08
2010.0,12.0,118.26
2011.0,1.0,118.38
2011.0,2.0,118.65
2011.0,3.0,118.78
2011.0,4.0,119.05
2011.0,5.0,119.34
2011.0,6.0,119.62
2011.0,7.0,119.76
2011.0,8.0,119.96
2011.0,9.0,120.06
2011.0,10.0,120.27
2011.0,11.0,120.39
2011.0,12.0,120.53
