year,month,quantity
2015,4,88.8
2015,3,86.8
2015,2,88.6
2015,1,88.6
2014,12,88.9
2014,11,89.3
2014,10,90.3
2014,9,89.5
2014,8,90.7
2014,7,89.1
2014,6,88.1
2014,5,90.3
2014,4,89.0
2014,3,90.8
2014,2,90.7
2014,1,91.6
2013,12,91.6
2013,11,92.4
2013,10,92.5
2013,9,91.9
2013,8,92.5
2013,7,92.6
2013,6,94.7
2013,5,93.8
2013,4,90.7
2013,3,97.4
2013,2,92.7
2013,1,92.7
2012,12,94.0
2012,11,97.5
2012,10,93.7
2012,9,96.5
2012,8,95.2
2012,7,97.4
2012,6,97.0
2012,5,95.8
2012,4,95.0
2012,3,102.5
2012,2,95.6
2012,1,99.6
2011,12,100.3
2011,11,99.6
2011,10,100.9
2011,9,101.1
2011,8,101.7
2011,7,101.0
2011,6,102.6
2011,5,100.7
2011,4,102.7
2011,3,103.1
2011,2,102.2
2011,1,102.9
2010,12,97.4
2010,11,99.4
2010,10,99.9
2010,9,101.5
2010,8,100.1
2010,7,101.9
2010,6,98.4
2010,5,102.6
2010,4,101.5
2010,3,99.8
2010,2,99.4
2010,1,98.1
2009,12,98.9
2009,11,99.5
2009,10,99.9
2009,9,98.6
2009,8,98.7
2009,7,99.6
2009,6,97.2
2009,5,98.0
2009,4,98.0
2009,3,98.4
2009,2,97.9
2009,1,98.2
2008,12,99.5
2008,11,100.7
2008,10,100.9
2008,9,99.3
2008,8,95.3
2008,7,102.7
2008,6,102.9
2008,5,104.1
2008,4,103.7
2008,3,106.1
2008,2,108.5
2008,1,107.3
2007,12,108.0
2007,11,107.6
2007,10,108.1
2007,9,108.2
2007,8,100.2
2007,7,107.3
2007,6,107.6
2007,5,104.1
2007,4,108.0
2007,3,110.8
2007,2,107.5
2007,1,108.1
2006,12,108.6
2006,11,107.7
2006,10,109.3
2006,9,109.2
2006,8,105.9
2006,7,105.8
2006,6,103.4
2006,5,105.7
2006,4,105.5
2006,3,105.0
2006,2,105.4
2006,1,107.0
2005,12,106.5
2005,11,106.9
2005,10,103.5
2005,9,105.4
2005,8,106.0
2005,7,107.4
2005,6,105.7
2005,5,105.1
2005,4,103.9
2005,3,104.5
2005,2,103.8
2005,1,105.1
2004,12,107.9
2004,11,108.5
2004,10,105.6
2004,9,106.8
2004,8,109.0
2004,7,106.9
2004,6,107.6
2004,5,107.5
2004,4,107.5
2004,3,105.4
2004,2,106.5
2004,1,104.9
2003,12,106.1
2003,11,106.7
2003,10,107.8
2003,9,113.8
2003,8,110.5
2003,7,109.4
2003,6,108.6
2003,5,108.7
2003,4,108.4
2003,3,109.0
2003,2,108.0
2003,1,108.7
2002,12,108.8
2002,11,109.8
2002,10,112.8
2002,9,111.8
2002,8,115.1
2002,7,114.8
2002,6,111.5
2002,5,111.9
2002,4,108.8
2002,3,113.1
2002,2,113.3
2002,1,112.1
2001,12,112.5
2001,11,112.2
2001,10,110.7
2001,9,110.8
2001,8,113.8
2001,7,114.1
2001,6,114.8
2001,5,112.5
2001,4,111.0
2001,3,113.5
2001,2,112.7
2001,1,112.5
2000,12,107.9
2000,11,109.2
2000,10,109.3
2000,9,111.2
2000,8,111.3
2000,7,109.2
2000,6,110.1
2000,5,107.8
2000,4,106.1
2000,3,108.8
2000,2,107.9
2000,1,108.1
1999,12,106.5
1999,11,109.1
1999,10,103.9
1999,9,109.4
1999,8,107.6
1999,7,106.7
1999,6,107.8
1999,5,108.9
1999,4,107.3
1999,3,106.2
1999,2,106.7
1999,1,106.1
1998,12,107.1
1998,11,107.2
1998,10,105.8
1998,9,104.0
1998,8,105.0
1998,7,106.8
1998,6,103.4
1998,5,109.7
1998,4,111.7
1998,3,103.9
1998,2,102.9
1998,1,102.9
1997,12,104.2
1997,11,102.3
1997,10,103.1
1997,9,102.6
1997,8,92.7
1997,7,102.3
1997,6,102.1
1997,5,104.0
1997,4,107.1
1997,3,108.5
1997,2,102.8
1997,1,102.6
1996,12,100.1
1996,11,100.6
1996,10,100.9
1996,9,101.9
1996,8,94.2
1996,7,100.5
1996,6,104.4
1996,5,102.7
1996,4,105.5
1996,3,106.0
1996,2,106.7
1996,1,105.6
1995,12,104.0
1995,11,102.8
1995,10,104.5
1995,9,104.0
1995,8,103.6
1995,7,104.9
1995,6,109.2
1995,5,109.2
1995,4,111.0
1995,3,110.1
1995,2,115.5
1995,1,110.3
