Year,World,India,Europe,Brazil,United States,China,Russia
1991,4.76,5.45,8.1,6.37,6.8,2.37,5.14
1992,4.9,5.5,8.8,6.42,7.5,2.37,5.18
1993,5.21,5.61,10.14,6.03,6.9,2.69,5.88
1994,5.43,5.63,10.87,6.23,6.1,2.9,8.13
1995,5.58,5.64,10.65,6.42,5.6,3.0,9.45
1996,5.66,5.65,10.78,7.25,5.4,3.12,9.66
1997,5.69,5.64,10.76,8.16,4.9,3.23,11.81
1998,5.83,5.63,10.55,9.42,4.5,3.24,13.26
1999,5.94,5.69,9.82,10.21,4.2,3.25,13.04
2000,5.77,5.66,8.88,9.9,4.0,3.26,10.58
2001,5.85,5.66,8.31,9.61,4.7,3.8,8.98
2002,6.11,5.72,8.6,9.37,5.8,4.24,7.88
2003,6.19,5.73,9.07,9.99,6.0,4.58,8.21
2004,6.02,5.67,9.27,9.11,5.5,4.49,7.76
2005,5.9,5.6,9.12,9.57,5.1,4.52,7.12
2006,5.59,5.45,8.41,8.64,4.6,4.43,7.06
2007,5.35,5.32,7.51,8.33,4.6,4.35,6.0
2008,5.35,5.28,7.58,7.34,5.8,4.59,6.2
2009,6.0,5.57,9.64,8.52,9.3,4.72,8.3
2010,5.92,5.64,10.22,7.74,9.6,4.53,7.37
2011,5.8,5.64,10.22,6.92,8.9,4.55,6.54
2012,5.77,5.65,11.38,7.19,8.1,4.57,5.44
2013,5.77,5.67,12.04,6.98,7.4,4.59,5.46
2014,5.63,5.61,11.62,6.66,6.2,4.61,5.16
2015,5.64,5.57,10.86,8.43,5.3,4.63,5.57
2016,5.67,5.51,10.02,11.6,4.9,4.54,5.56
2017,5.57,5.42,9.07,12.82,4.4,4.44,5.21
2018,5.39,5.33,8.2,12.33,3.9,4.28,4.85
2019,5.39,5.36,7.57,12.08,3.7,4.32,4.58
